,RefSeq mRNA ID,Transcript stable ID
493,,ENST00000797531
494,,ENST00000792885
495,,ENST00000805969
496,,ENST00000797532
497,,ENST00000792886
498,,ENST00000805970
499,,ENST00000792887
500,,ENST00000797768
501,,ENST00000805971
502,,ENST00000792888
503,,ENST00000805972
504,,ENST00000797914
505,,ENST00000792889
506,,ENST00000805973
507,,ENST00000805974
508,,ENST00000797915
509,,ENST00000792890
510,,ENST00000805975
511,,ENST00000792891
512,,ENST00000798064
513,,ENST00000805976
514,,ENST00000792892
515,,ENST00000805977
516,,ENST00000792893
517,,ENST00000792894
518,,ENST00000805978
519,,ENST00000793223
520,,ENST00000805979
521,,ENST00000805980
522,,ENST00000805981
523,,ENST00000805982
524,,ENST00000805983
525,,ENST00000832155
526,,ENST00000805984
527,,ENST00000832156
528,,ENST00000805985
529,,ENST00000805986
530,,ENST00000832157
531,,ENST00000805987
532,,ENST00000832158
533,,ENST00000805988
534,,ENST00000832159
535,,ENST00000805989
536,,ENST00000832160
537,,ENST00000805990
538,,ENST00000832161
539,,ENST00000805991
540,,ENST00000832162
541,,ENST00000805992
542,,ENST00000832163
543,,ENST00000805993
544,,ENST00000832164
545,,ENST00000805994
546,,ENST00000832165
547,,ENST00000805995
548,,ENST00000832166
549,,ENST00000805996
550,,ENST00000832167
551,,ENST00000805997
552,,ENST00000832168
553,,ENST00000805998
554,,ENST00000832169
555,,ENST00000805999
556,,ENST00000832170
557,,ENST00000806000
558,,ENST00000806001
559,,ENST00000832171
560,,ENST00000806002
561,,ENST00000832172
562,,ENST00000806003
563,,ENST00000806004
564,,ENST00000832173
565,,ENST00000806005
566,,ENST00000832174
567,,ENST00000832175
568,,ENST00000806006
569,,ENST00000832176
570,,ENST00000806007
571,,ENST00000832177
572,,ENST00000806008
573,,ENST00000832178
574,,ENST00000806009
575,,ENST00000832179
576,,ENST00000806010
577,,ENST00000832180
578,,ENST00000806011
579,,ENST00000832181
580,,ENST00000806012
581,,ENST00000832182
582,,ENST00000806013
583,,ENST00000832183
584,,ENST00000806014
585,,ENST00000832184
586,,ENST00000806015
587,,ENST00000832185
588,,ENST00000612925
589,,ENST00000806016
590,,ENST00000832186
591,,ENST00000806017
592,,ENST00000795701
593,,ENST00000832187
594,,ENST00000806018
595,,ENST00000795702
596,,ENST00000832188
597,,ENST00000806019
598,,ENST00000795703
599,,ENST00000832189
600,,ENST00000806020
601,,ENST00000795704
602,,ENST00000806021
603,,ENST00000795705
604,,ENST00000806022
605,,ENST00000795706
606,,ENST00000806023
607,,ENST00000795707
608,,ENST00000806024
609,,ENST00000795708
610,,ENST00000806025
611,,ENST00000795709
612,,ENST00000806026
613,,ENST00000795710
614,,ENST00000806027
615,,ENST00000795711
616,,ENST00000806028
617,,ENST00000840158
618,,ENST00000806029
619,,ENST00000840159
620,,ENST00000806030
621,,ENST00000840160
622,,ENST00000806031
623,,ENST00000806032
624,,ENST00000832190
625,,ENST00000806033
626,,ENST00000806034
627,,ENST00000832191
628,,ENST00000806035
629,,ENST00000832192
630,,ENST00000806036
631,,ENST00000832193
632,,ENST00000806037
633,,ENST00000828164
634,,ENST00000832194
635,,ENST00000611062
636,,ENST00000832195
637,,ENST00000806038
638,,ENST00000849557
639,,ENST00000832196
640,,ENST00000806039
641,,ENST00000832197
642,,ENST00000806040
643,,ENST00000832198
644,,ENST00000806041
645,,ENST00000832199
646,,ENST00000806042
647,,ENST00000832200
648,,ENST00000806043
649,,ENST00000832201
650,,ENST00000806044
651,,ENST00000832202
652,,ENST00000806045
653,,ENST00000806046
654,,ENST00000832203
655,,ENST00000806047
656,,ENST00000832204
657,,ENST00000806048
658,,ENST00000832205
659,,ENST00000806049
660,,ENST00000832206
661,,ENST00000806050
662,,ENST00000832207
663,,ENST00000806051
664,,ENST00000832208
665,,ENST00000832209
666,,ENST00000806052
667,,ENST00000806053
668,,ENST00000832210
669,,ENST00000832211
670,,ENST00000806054
671,,ENST00000832212
672,,ENST00000806055
673,,ENST00000832213
674,,ENST00000806056
675,,ENST00000832214
676,,ENST00000806057
677,,ENST00000832215
678,,ENST00000806058
679,,ENST00000832216
680,,ENST00000806059
681,,ENST00000832217
682,,ENST00000806060
683,,ENST00000832218
684,,ENST00000806061
685,,ENST00000832219
686,,ENST00000806062
687,,ENST00000832220
688,,ENST00000806063
689,,ENST00000832221
690,,ENST00000806064
691,,ENST00000832222
692,,ENST00000806065
693,,ENST00000806066
694,,ENST00000832223
695,,ENST00000806067
696,,ENST00000832224
697,,ENST00000806068
698,,ENST00000832225
699,,ENST00000806069
700,,ENST00000832226
701,,ENST00000806070
702,,ENST00000832227
703,,ENST00000806071
704,,ENST00000832228
705,,ENST00000806072
706,,ENST00000832229
707,,ENST00000806073
708,,ENST00000832230
709,,ENST00000806074
710,,ENST00000832231
711,,ENST00000806075
712,,ENST00000832232
713,,ENST00000806076
714,,ENST00000832233
715,,ENST00000806077
716,,ENST00000832234
717,,ENST00000806078
718,,ENST00000832235
719,,ENST00000806079
720,,ENST00000832236
721,,ENST00000806080
722,,ENST00000832237
723,,ENST00000806081
724,,ENST00000832238
725,,ENST00000806082
726,,ENST00000832239
727,,ENST00000806083
728,,ENST00000832240
729,,ENST00000843937
730,,ENST00000806084
731,,ENST00000832241
732,,ENST00000806085
733,,ENST00000832242
734,,ENST00000806086
735,,ENST00000832243
736,,ENST00000806087
737,,ENST00000832244
738,,ENST00000806088
739,,ENST00000832245
740,,ENST00000806089
741,,ENST00000832246
742,,ENST00000806090
743,,ENST00000832247
744,,ENST00000832248
745,,ENST00000806306
